,alloy_name,phases,phase_code,R_delta,S_config,VEC,R_cov_delta,density_avg,E_delta,G_delta,B_delta,EN_Allen_avg,Vm_delta,E_coh_avg,E_coh_delta,H_ch_M_L_R,H_el_M_S_R
312,CuMnNiSn0.25Zn1.75,FCC+Im,4,0.319357283,0.496790681,0.943262411,0.142576779,0.461027958,0.523047908,0.242463588,0.539112775,0.698420842,0.468921678,0.107239969,0.935268766,0.729288499,0.285767373
313,CuMnNiSn0.2Zn0.8,FCC+Im,4,0.323825745,0.516872816,0.886524823,0.152016586,0.478772475,0.46317313,0.221531882,0.499266423,0.753771322,0.490726196,0.167370399,0.74013826,0.761695906,0.286510591
314,CuMnNiSn0.333,FCC+Im,4,0.400663878,0.377632906,0.773117737,0.202165839,0.497279366,0.416306337,0.215396508,0.418234841,0.827053174,0.664247179,0.243336868,0.361427259,0.835282651,0.48197696
315,CuMnNiSn0.75,FCC+Im,4,0.507429065,0.423814117,0.697399527,0.255471281,0.486946562,0.53169944,0.277931184,0.398093516,0.826012793,0.803156565,0.23489923,0.354013875,0.814327485,0.853957637
316,AlCoCrCuNiTiY,Im,7,0.690342578,0.822963561,0.456940223,0.754015233,0.330663923,0.578540686,0.370700059,0.471498331,0.503636156,0.868274292,0.345576276,0.239359038,0.418859649,0.869565217
317,AlCoCrCuNiTiY0.5,Im,7,0.578410663,0.808318946,0.495908347,0.627345773,0.345415246,0.542505891,0.351920735,0.406258338,0.563432836,0.745102096,0.34254449,0.248648052,0.431530214,0.607952434
318,AlCoCrCuNiTiY0.8,Im,7,0.653558274,0.821036663,0.4718398,0.712365812,0.336304135,0.56509193,0.363633783,0.447056603,0.526499592,0.832428276,0.344417064,0.242968638,0.423001949,0.775176514
319,AlCoCuFeNdNi,Im,7,0.5497607,0.714373348,0.56501182,1,0.413144435,0.686750316,0.340318142,0.488965233,0.313566098,1,0.301573266,0.246743775,0.587962963,0.798587886
320,AlCu0.2Li0.5MgZn0.5,Im,7,0.318238948,0.495002855,0.132092199,0.229098938,0.014108538,0.708180551,0.345254078,0.608533025,0.182336087,0.340971307,0.003868686,0.93318517,0.776315789,0.150873281
321,AlCu0.5Li0.5MgSn0.2,Im,7,0.38460127,0.495002855,0.04787234,0.215964817,0.031199991,0.794249822,0.374242698,0.691979632,0.242753865,0.416328785,0.059135625,0.809123931,0.741959064,0.258639911
322,CuMnNiSn,Im,7,0.539763502,0.428746695,0.659574468,0.272468234,0.481784807,0.583625793,0.30632887,0.387102378,0.82549307,0.827421046,0.230684205,0.349103362,0.80628655,1
